Date Lifted,Exercise,Weight (kg),Weight (lb),Reps,Bodyweight (kg),Bodyweight (lb),Percentile (%),Warmup
2025-01-29,Pull Ups,,,4,84.6,186.5,15.7,0
2025-01-29,Pull Ups,,,5,84.6,186.5,18.6,0
2025-01-29,Pull Ups,,,4,84.6,186.5,15.7,0
2025-01-29,Chin Ups,,,5,84.6,186.5,15.9,0
2025-01-29,Chin Ups,,,4,84.6,186.5,13,0
2025-01-29,Chin Ups,,,3,84.6,186.5,10.6,0
2025-01-29,Dumbbell Row,24,52.9,8,84.6,186.5,17.2,0
2025-01-29,Dumbbell Row,24,52.9,7,84.6,186.5,15.6,0
2025-01-29,Dumbbell Row,24,52.9,4,84.6,186.5,11.7,0
2025-01-29,Bent Over Row,50,110.2,9,84.6,186.5,17.3,0
2025-01-29,Bent Over Row,50,110.2,7,84.6,186.5,13.1,0
2025-01-29,Bent Over Row,50,110.2,6,84.6,186.5,11.4,0
2025-01-29,Lat Pulldown,61,134.5,9,84.6,186.5,39.3,0
2025-01-29,Lat Pulldown,61,134.5,6,84.6,186.5,29.2,0
2025-01-29,Lat Pulldown,61,134.5,5,84.6,186.5,26.4,0
2025-01-28,Bench Press,65,143.3,7,84.6,186.5,19.9,0
2025-01-28,Bench Press,65,143.3,6,84.6,186.5,17.5,0
2025-01-28,Bench Press,65,143.3,5,84.6,186.5,15.4,0
2025-01-28,Incline Dumbbell Bench Press,20,44.1,10,84.6,186.5,10.4,0
2025-01-28,Incline Dumbbell Bench Press,20,44.1,8,84.6,186.5,7.6,0
2025-01-28,Incline Dumbbell Bench Press,20,44.1,7,84.6,186.5,6.5,0
2025-01-28,Incline Bench Press,50,110.2,8,84.6,186.5,10.4,0
2025-01-28,Incline Bench Press,50,110.2,6,84.6,186.5,7.5,0
2025-01-28,Incline Bench Press,50,110.2,5,84.6,186.5,6.4,0
2025-01-28,Push Ups,,,12,84.6,186.5,12.2,0
2025-01-28,Push Ups,,,9,84.6,186.5,9,0
2025-01-28,Push Ups,,,9,84.6,186.5,9,0
2025-01-28,Dumbbell Bench Press,22,48.5,7,84.6,186.5,13.9,0
2025-01-28,Dumbbell Bench Press,22,48.5,7,84.6,186.5,13.9,0
2025-01-28,Dumbbell Bench Press,22,48.5,5,84.6,186.5,11.4,0
2025-01-27,Sit Ups,,,21,84.6,186.5,19,0
2025-01-27,Sit Ups,,,21,84.6,186.5,19,0
2025-01-27,Sit Ups,,,21,84.6,186.5,19,0
2025-01-27,Wrist Curl,40,88.2,7,84.6,186.5,41.7,0
2025-01-27,Wrist Curl,40,88.2,7,84.6,186.5,41.7,0
2025-01-27,Wrist Curl,40,88.2,4,84.6,186.5,37.5,0
2025-01-27,Crunches,,,26,84.6,186.5,24.6,0
2025-01-27,Crunches,,,26,84.6,186.5,24.6,0
2025-01-27,Crunches,,,26,84.6,186.5,24.6,0
2025-01-27,Reverse Barbell Curl,30,66.1,7,84.6,186.5,34.7,0
2025-01-27,Reverse Barbell Curl,30,66.1,4,84.6,186.5,29.2,0
